"rule"; "interactions"; "support"; "coverage"
"prodDatabaseType=mariadb & buildTool=gradle"; 2; 16.18; 45.31
"Docker=TRUE & applicationType=gateway & authenticationType=uaa"; 3; 6.83; 19.13
"Docker=TRUE & applicationType=monolith & prodDatabaseType=mariadb & searchEngine=no"; 4; 5.48; 15.35
"applicationType=gateway & authenticationType=uaa & hibernateCache=no & clusteredHttpSession=no"; 4; 2.44; 6.83
"applicationType=gateway & authenticationType=uaa & hibernateCache=ehcache & searchEngine=no"; 4; 2.19; 6.13
"applicationType=gateway & authenticationType=uaa & hibernateCache=ehcache & clusteredHttpSession=no"; 4; 2.19; 6.13
"applicationType=gateway & authenticationType=uaa & clusteredHttpSession=no & prodDatabaseType=postgresql"; 4; 2.19; 6.13
"authenticationType=uaa & hibernateCache=no & websocket=spring-websocket & databaseType=sql"; 4; 2.19; 6.13
"applicationType=microservice & authenticationType=uaa"; 2; 1.74; 4.87
"applicationType=gateway & authenticationType=uaa & clusteredHttpSession=no & websocket=no & buildTool=gradle"; 5; 1.71; 4.79
"authenticationType=uaa & websocket=spring-websocket & buildTool=gradle & useSass=FALSE"; 4; 1.71; 4.79
"authenticationType=uaa & databaseType=sql & searchEngine=no & useSass=TRUE & enableTranslation=TRUE"; 5; 1.65; 4.62
"applicationType=gateway & authenticationType=uaa & databaseType=sql & buildTool=gradle & searchEngine=no & enableTranslation=TRUE"; 6; 1.65; 4.62
"applicationType=gateway & authenticationType=uaa & hibernateCache=ehcache & prodDatabaseType=postgresql"; 4; 1.46; 4.09
"applicationType=gateway & authenticationType=uaa & hibernateCache=ehcache & devDatabaseType=InMemory"; 4; 1.46; 4.09
"Docker=TRUE & authenticationType=uaa & prodDatabaseType=mariadb & searchEngine=no"; 4; 1.37; 3.84
"authenticationType=uaa & hibernateCache=no & clusteredHttpSession=hazelcast & websocket=no"; 4; 1.22; 3.42
"authenticationType=uaa & clusteredHttpSession=hazelcast & prodDatabaseType=mariadb & useSass=TRUE"; 4; 1.1; 3.08
"authenticationType=uaa & devDatabaseType=InMemory & searchEngine=no & useSass=TRUE"; 4; 1.1; 3.08
"authenticationType=uaa & websocket=no & devDatabaseType=InMemory & useSass=TRUE"; 4; 1.1; 3.08
"applicationType=gateway & authenticationType=uaa & prodDatabaseType=mysql & searchEngine=elasticsearch & enableTranslation=FALSE"; 5; 1.1; 3.08
"authenticationType=uaa & clusteredHttpSession=hazelcast & prodDatabaseType=mariadb & enableTranslation=FALSE"; 4; 1.1; 3.08
"authenticationType=uaa & websocket=spring-websocket & prodDatabaseType=postgresql & enableTranslation=TRUE"; 4; 1.1; 3.08
"authenticationType=uaa & websocket=spring-websocket & prodDatabaseType=mariadb & enableTranslation=TRUE"; 4; 1.1; 3.08
"authenticationType=uaa & prodDatabaseType=mariadb & searchEngine=no & useSass=TRUE"; 4; 1.1; 3.08
"applicationType=gateway & authenticationType=uaa & clusteredHttpSession=no & websocket=no & devDatabaseType=InMemory"; 5; 1.1; 3.08
"authenticationType=uaa & clusteredHttpSession=hazelcast & websocket=spring-websocket & searchEngine=elasticsearch & enableTranslation=TRUE"; 5; 0.82; 2.3
"authenticationType=uaa & websocket=spring-websocket & devDatabaseType=DiskBased & prodDatabaseType=postgresql"; 4; 0.73; 2.04
"authenticationType=uaa & devDatabaseType=mariadb & useSass=TRUE"; 3; 0.73; 2.04
"applicationType=gateway & authenticationType=uaa & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=maven"; 5; 0.73; 2.04
"applicationType=gateway & authenticationType=uaa & clusteredHttpSession=no & devDatabaseType=mysql"; 4; 0.73; 2.04
"authenticationType=uaa & devDatabaseType=DiskBased & prodDatabaseType=postgresql & useSass=TRUE"; 4; 0.73; 2.04
"authenticationType=uaa & devDatabaseType=InMemory & prodDatabaseType=mariadb & useSass=TRUE"; 4; 0.73; 2.04
"authenticationType=uaa & clusteredHttpSession=hazelcast & devDatabaseType=mariadb"; 3; 0.73; 2.04
"authenticationType=uaa & websocket=spring-websocket & devDatabaseType=mariadb"; 3; 0.73; 2.04
"applicationType=gateway & authenticationType=uaa & devDatabaseType=InMemory & buildTool=maven & searchEngine=elasticsearch & enableTranslation=TRUE"; 6; 0.55; 1.54
"authenticationType=uaa & websocket=spring-websocket & prodDatabaseType=mysql & searchEngine=no & enableTranslation=TRUE"; 5; 0.55; 1.54
"authenticationType=uaa & websocket=spring-websocket & prodDatabaseType=mysql & buildTool=gradle & enableTranslation=FALSE"; 5; 0.55; 1.54
"applicationType=gateway & authenticationType=uaa & devDatabaseType=InMemory & buildTool=maven & searchEngine=no & enableTranslation=FALSE"; 6; 0.55; 1.54
"applicationType=gateway & authenticationType=uaa & clusteredHttpSession=no & prodDatabaseType=mariadb & useSass=FALSE & enableTranslation=TRUE"; 6; 0.55; 1.54
