"rule"; "support"; "interactions"; "coverage"
"prodDatabaseType=mariadb & buildTool=gradle"; 8.96; 2; 23.77
"devDatabaseType=mariadb & buildTool=gradle"; 4.48; 2; 11.88
"Docker=TRUE & authenticationType=uaa & websocket=spring-websocket"; 3.41; 3; 9.05
"applicationType=gateway & authenticationType=uaa & hibernateCache=no & databaseType=sql"; 2.74; 4; 7.27
"Docker=TRUE & prodDatabaseType=mariadb & searchEngine=no"; 2.74; 3; 7.27
"applicationType=microservice & authenticationType=uaa"; 1.74; 2; 4.62
"Docker=TRUE & authenticationType=uaa & useSass=TRUE"; 1.71; 3; 4.54
"applicationType=gateway & authenticationType=uaa & hibernateCache=ehcache & clusteredHttpSession=no"; 1.37; 4; 3.63
"Docker=TRUE & applicationType=gateway & authenticationType=uaa"; 0.88; 3; 2.33
"authenticationType=uaa & hibernateCache=ehcache & websocket=spring-websocket"; 0.55; 3; 1.46
"databaseType=cassandra"; 0.4; 1; 1.06
"applicationType=gateway & authenticationType=uaa & clusteredHttpSession=no & prodDatabaseType=postgresql"; 0.32; 4; 0.85
"authenticationType=uaa & websocket=spring-websocket & buildTool=gradle & useSass=FALSE"; 0.3; 4; 0.8
"authenticationType=uaa & hibernateCache=ehcache & useSass=TRUE"; 0.27; 3; 0.72
"applicationType=microservice & databaseType=sql"; 0.27; 2; 0.72
"authenticationType=session & databaseType=mongodb"; 0.24; 2; 0.64
"authenticationType=jwt & databaseType=mongodb & enableSocialSignIn=TRUE"; 0.24; 3; 0.64
"applicationType=gateway & authenticationType=uaa & prodDatabaseType=mariadb & buildTool=gradle"; 0.23; 4; 0.61
"authenticationType=uaa & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & websocket=spring-websocket & enableTranslation=TRUE"; 0.17; 5; 0.45
"authenticationType=uaa & websocket=no & devDatabaseType=InMemory & useSass=TRUE"; 0.15; 4; 0.4
"authenticationType=uaa & clusteredHttpSession=hazelcast & devDatabaseType=mariadb"; 0.14; 3; 0.37
"authenticationType=uaa & hibernateCache=ehcache & clusteredHttpSession=hazelcast & buildTool=maven"; 0.12; 4; 0.32
"applicationType=gateway & authenticationType=uaa & databaseType=cassandra"; 0.11; 3; 0.29
"applicationType=gateway & authenticationType=uaa & clusteredHttpSession=no & devDatabaseType=mysql"; 0.11; 4; 0.29
