"rule"; "interactions"; "support"; "coverage"
"prodDatabaseType=mariadb & buildTool=gradle"; 2; 8.96; 25.09
"devDatabaseType=mariadb & buildTool=gradle"; 2; 4.48; 12.55
"Docker=TRUE & authenticationType=uaa & websocket=spring-websocket"; 3; 3.41; 9.55
"applicationType=gateway & authenticationType=uaa & hibernateCache=no & databaseType=sql"; 4; 2.74; 7.67
"Docker=TRUE & prodDatabaseType=mariadb & searchEngine=no"; 3; 2.74; 7.67
"applicationType=microservice & authenticationType=uaa"; 2; 1.74; 4.87
"Docker=TRUE & authenticationType=uaa & useSass=TRUE"; 3; 1.71; 4.79
"applicationType=gateway & authenticationType=uaa & hibernateCache=ehcache & clusteredHttpSession=no"; 4; 1.37; 3.84
"Docker=TRUE & applicationType=gateway & authenticationType=uaa"; 3; 0.88; 2.46
"authenticationType=uaa & hibernateCache=ehcache & websocket=spring-websocket"; 3; 0.55; 1.54
"databaseType=cassandra"; 1; 0.4; 1.12
"applicationType=gateway & authenticationType=uaa & clusteredHttpSession=no & prodDatabaseType=postgresql"; 4; 0.32; 0.9
"authenticationType=uaa & websocket=spring-websocket & buildTool=gradle & useSass=FALSE"; 4; 0.3; 0.84
"authenticationType=uaa & hibernateCache=ehcache & useSass=TRUE"; 3; 0.27; 0.76
"applicationType=microservice & databaseType=sql"; 2; 0.27; 0.76
"authenticationType=session & databaseType=mongodb"; 2; 0.24; 0.67
"authenticationType=jwt & databaseType=mongodb & enableSocialSignIn=TRUE"; 3; 0.24; 0.67
"applicationType=gateway & authenticationType=uaa & prodDatabaseType=mariadb & buildTool=gradle"; 4; 0.23; 0.64
"authenticationType=uaa & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & websocket=spring-websocket & enableTranslation=TRUE"; 5; 0.17; 0.48
"authenticationType=uaa & websocket=no & devDatabaseType=InMemory & useSass=TRUE"; 4; 0.15; 0.42
"authenticationType=uaa & clusteredHttpSession=hazelcast & devDatabaseType=mariadb"; 3; 0.14; 0.39
"authenticationType=uaa & hibernateCache=ehcache & clusteredHttpSession=hazelcast & buildTool=maven"; 4; 0.12; 0.34
"applicationType=gateway & authenticationType=uaa & databaseType=cassandra"; 3; 0.11; 0.31
"applicationType=gateway & authenticationType=uaa & clusteredHttpSession=no & devDatabaseType=mysql"; 4; 0.11; 0.31
"authenticationType=uaa & clusteredHttpSession=hazelcast & devDatabaseType=DiskBased & useSass=TRUE"; 4; 0.11; 0.31
"Docker=FALSE & authenticationType=uaa & prodDatabaseType=mysql & searchEngine=elasticsearch & enableTranslation=FALSE"; 5; 0.11; 0.31
"authenticationType=uaa & websocket=no & devDatabaseType=postgresql"; 3; 0.08; 0.22
"Docker=TRUE & authenticationType=uaa & prodDatabaseType=mariadb"; 3; 0.07; 0.2
"applicationType=gateway & authenticationType=uaa & clusteredHttpSession=no & devDatabaseType=InMemory & searchEngine=no"; 5; 0.06; 0.17
"applicationType=gateway & authenticationType=uaa & hibernateCache=no & websocket=no"; 4; 0.06; 0.17
"Docker=FALSE & authenticationType=uaa & hibernateCache=hazelcast & devDatabaseType=DiskBased & prodDatabaseType=mysql & buildTool=gradle"; 6; 0.05; 0.14
"authenticationType=uaa & websocket=no & buildTool=maven & searchEngine=elasticsearch & useSass=FALSE & enableTranslation=TRUE"; 6; 0.05; 0.14
"clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=postgresql & useSass=TRUE & enableTranslation=FALSE"; 6; 0.05; 0.14
"Docker=FALSE & authenticationType=uaa & hibernateCache=ehcache & searchEngine=no"; 4; 0.04; 0.11
"authenticationType=uaa & websocket=spring-websocket & prodDatabaseType=mariadb & searchEngine=no"; 4; 0.04; 0.11
"authenticationType=uaa & clusteredHttpSession=hazelcast & websocket=no & buildTool=maven & useSass=FALSE & enableTranslation=FALSE"; 6; 0.04; 0.11
"authenticationType=uaa & clusteredHttpSession=hazelcast & prodDatabaseType=mysql & searchEngine=no & enableTranslation=TRUE"; 5; 0.03; 0.08
"Docker=TRUE & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & devDatabaseType=mysql & useSass=TRUE & enableTranslation=FALSE"; 6; 0.03; 0.08
"hibernateCache=no & clusteredHttpSession=no & devDatabaseType=postgresql & buildTool=gradle & searchEngine=elasticsearch"; 5; 0.03; 0.08
"hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=mysql & searchEngine=elasticsearch"; 5; 0.03; 0.08
"hibernateCache=no & clusteredHttpSession=no & devDatabaseType=DiskBased & searchEngine=no & useSass=FALSE & enableTranslation=TRUE"; 6; 0.03; 0.08
"hibernateCache=hazelcast & clusteredHttpSession=no & devDatabaseType=postgresql & searchEngine=elasticsearch & useSass=TRUE"; 5; 0.03; 0.08
"hibernateCache=no & websocket=spring-websocket & devDatabaseType=DiskBased & buildTool=maven & useSass=TRUE & enableTranslation=TRUE"; 6; 0.03; 0.08
"authenticationType=oauth2 & hibernateCache=hazelcast & devDatabaseType=DiskBased & prodDatabaseType=mysql & buildTool=gradle & searchEngine=elasticsearch & enableTranslation=FALSE"; 7; 0.03; 0.08
"hibernateCache=no & clusteredHttpSession=hazelcast & prodDatabaseType=mysql & buildTool=maven & useSass=TRUE & enableTranslation=FALSE"; 6; 0.03; 0.08
"hibernateCache=ehcache & websocket=spring-websocket & devDatabaseType=InMemory & searchEngine=elasticsearch & useSass=FALSE & enableTranslation=TRUE"; 6; 0.03; 0.08
"websocket=spring-websocket & devDatabaseType=DiskBased & prodDatabaseType=postgresql & buildTool=gradle & searchEngine=no & useSass=FALSE"; 6; 0.03; 0.08
"hibernateCache=no & clusteredHttpSession=hazelcast & devDatabaseType=DiskBased & buildTool=maven & enableTranslation=TRUE"; 5; 0.03; 0.08
"Docker=TRUE"; 1; 0.03; 0.08
"authenticationType=uaa & websocket=spring-websocket & prodDatabaseType=postgresql & useSass=FALSE"; 4; 0.02; 0.06
"authenticationType=uaa & hibernateCache=no & clusteredHttpSession=no"; 3; 0.02; 0.06
"authenticationType=uaa & devDatabaseType=mariadb & useSass=TRUE"; 3; 0.02; 0.06
"authenticationType=uaa & websocket=spring-websocket & prodDatabaseType=mariadb & enableTranslation=TRUE"; 4; 0.02; 0.06
"authenticationType=uaa & clusteredHttpSession=hazelcast & devDatabaseType=InMemory & prodDatabaseType=postgresql & buildTool=gradle & useSass=FALSE"; 6; 0.02; 0.06
"authenticationType=uaa & devDatabaseType=DiskBased & buildTool=gradle & searchEngine=no"; 4; 0.02; 0.06
"authenticationType=uaa & websocket=spring-websocket & devDatabaseType=InMemory & searchEngine=no"; 4; 0.02; 0.06
"authenticationType=uaa & prodDatabaseType=mysql & buildTool=maven & useSass=TRUE & enableTranslation=TRUE"; 5; 0.02; 0.06
"hibernateCache=hazelcast & clusteredHttpSession=no & devDatabaseType=mariadb & useSass=TRUE"; 4; 0.02; 0.06
"hibernateCache=hazelcast & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=mariadb"; 4; 0.02; 0.06
"authenticationType=uaa & websocket=no & devDatabaseType=DiskBased & searchEngine=no & enableTranslation=FALSE"; 5; 0.02; 0.06
"applicationType=gateway & clusteredHttpSession=no & prodDatabaseType=postgresql"; 3; 0.02; 0.06
"hibernateCache=no & clusteredHttpSession=no & websocket=no & devDatabaseType=postgresql & buildTool=maven & useSass=TRUE"; 6; 0.02; 0.06
"authenticationType=jwt & hibernateCache=no & enableSocialSignIn=TRUE"; 3; 0.02; 0.06
"Docker=FALSE & hibernateCache=no & prodDatabaseType=mysql"; 3; 0.02; 0.06
"authenticationType=oauth2 & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=postgresql & buildTool=maven & searchEngine=no & useSass=TRUE"; 7; 0.02; 0.06
"clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=mysql & searchEngine=no & useSass=FALSE & enableTranslation=FALSE"; 6; 0.02; 0.06
"applicationType=gateway & clusteredHttpSession=no & devDatabaseType=InMemory & prodDatabaseType=mysql"; 4; 0.02; 0.06
"authenticationType=uaa & hibernateCache=hazelcast & devDatabaseType=DiskBased & useSass=FALSE"; 4; 0.02; 0.06
"hibernateCache=no & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=mysql & buildTool=maven & searchEngine=no"; 6; 0.02; 0.06
"authenticationType=session & useSass=FALSE & enableTranslation=TRUE"; 3; 0.02; 0.06
"hibernateCache=ehcache & clusteredHttpSession=no & websocket=no & devDatabaseType=DiskBased & prodDatabaseType=mysql & searchEngine=elasticsearch & enableTranslation=FALSE"; 7; 0.02; 0.06
"hibernateCache=no & clusteredHttpSession=no & websocket=spring-websocket & prodDatabaseType=postgresql & buildTool=maven & searchEngine=no & useSass=TRUE"; 7; 0.02; 0.06
"hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=DiskBased & prodDatabaseType=mysql & buildTool=gradle & searchEngine=no"; 7; 0.02; 0.06
"hibernateCache=no & clusteredHttpSession=hazelcast & devDatabaseType=mariadb & enableTranslation=FALSE"; 4; 0.02; 0.06
