"rule"; "support"; "interactions"; "coverage"
"prodDatabaseType=mariadb & buildTool=gradle"; 16.18; 2; 42.92
"Docker=TRUE & applicationType=gateway & authenticationType=uaa"; 6.83; 3; 18.12
"Docker=TRUE & applicationType=monolith & prodDatabaseType=mariadb & searchEngine=no"; 5.48; 4; 14.54
"applicationType=gateway & authenticationType=uaa & hibernateCache=no & websocket=no"; 2.44; 4; 6.47
"applicationType=gateway & authenticationType=uaa & clusteredHttpSession=no & prodDatabaseType=postgresql"; 2.19; 4; 5.81
"authenticationType=uaa & hibernateCache=ehcache & websocket=spring-websocket"; 2.19; 3; 5.81
"applicationType=gateway & authenticationType=uaa & hibernateCache=no & searchEngine=elasticsearch"; 2.19; 4; 5.81
"applicationType=gateway & authenticationType=uaa & hibernateCache=ehcache & buildTool=maven"; 2.19; 4; 5.81
"authenticationType=uaa & hibernateCache=ehcache & useSass=TRUE"; 2.19; 3; 5.81
"applicationType=microservice & authenticationType=uaa"; 1.74; 2; 4.62
"applicationType=gateway & authenticationType=uaa & clusteredHttpSession=no & websocket=no & buildTool=gradle"; 1.71; 5; 4.54
"authenticationType=uaa & websocket=spring-websocket & buildTool=gradle & useSass=FALSE"; 1.71; 4; 4.54
"applicationType=gateway & authenticationType=uaa & databaseType=sql & buildTool=gradle & searchEngine=no & enableTranslation=TRUE"; 1.65; 6; 4.38
"applicationType=gateway & authenticationType=uaa & hibernateCache=ehcache & devDatabaseType=InMemory"; 1.46; 4; 3.87
"applicationType=gateway & authenticationType=uaa & hibernateCache=ehcache & prodDatabaseType=mariadb"; 1.46; 4; 3.87
"applicationType=gateway & authenticationType=uaa & hibernateCache=ehcache & prodDatabaseType=postgresql"; 1.46; 4; 3.87
"authenticationType=uaa & hibernateCache=no & useSass=TRUE & enableTranslation=FALSE"; 1.22; 4; 3.24
"authenticationType=uaa & hibernateCache=no & clusteredHttpSession=hazelcast & useSass=FALSE"; 1.22; 4; 3.24
"authenticationType=uaa & hibernateCache=no & clusteredHttpSession=no & websocket=spring-websocket"; 1.22; 4; 3.24
"authenticationType=uaa & clusteredHttpSession=no & websocket=spring-websocket & prodDatabaseType=postgresql"; 1.1; 4; 2.92
"authenticationType=uaa & websocket=no & prodDatabaseType=postgresql & useSass=TRUE"; 1.1; 4; 2.92
"authenticationType=uaa & clusteredHttpSession=hazelcast & prodDatabaseType=mariadb & searchEngine=elasticsearch"; 1.1; 4; 2.92
"applicationType=gateway & authenticationType=uaa & prodDatabaseType=mysql & searchEngine=elasticsearch & enableTranslation=FALSE"; 1.1; 5; 2.92
"authenticationType=uaa & websocket=spring-websocket & prodDatabaseType=mariadb & enableTranslation=TRUE"; 1.1; 4; 2.92
"authenticationType=uaa & prodDatabaseType=mariadb & searchEngine=no & useSass=TRUE"; 1.1; 4; 2.92
"authenticationType=uaa & websocket=no & devDatabaseType=InMemory & useSass=TRUE"; 1.1; 4; 2.92
"authenticationType=uaa & clusteredHttpSession=hazelcast & websocket=spring-websocket & prodDatabaseType=mariadb"; 1.1; 4; 2.92
"applicationType=gateway & authenticationType=uaa & clusteredHttpSession=no & websocket=no & devDatabaseType=InMemory"; 1.1; 5; 2.92
"authenticationType=uaa & devDatabaseType=InMemory & searchEngine=no & useSass=TRUE"; 1.1; 4; 2.92
"authenticationType=uaa & clusteredHttpSession=hazelcast & devDatabaseType=DiskBased & useSass=TRUE"; 1.1; 4; 2.92
"authenticationType=uaa & hibernateCache=ehcache & clusteredHttpSession=hazelcast & buildTool=maven"; 1.1; 4; 2.92
"authenticationType=uaa & clusteredHttpSession=no & websocket=no & searchEngine=no & useSass=TRUE"; 0.88; 5; 2.33
