"UNDO";"STATES";"SOLVER";"GENERATOR";"EXTENDEDSUDOKU";"COLOR";"BASE";"test"
FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;"OK"
FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"OK"
TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"OK"
FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;"OK"
FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;"OK"
TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;"OK"
TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;"OK"
TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;"OK"
TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;"OK"
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;"OK"
FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"OK"
FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;"OK"
TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;"OK"
FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;"OK"
FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;"OK"
TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;"OK"
TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;"KO"
TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;"KO"
TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;"KO"
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;"KO"
